Color_Preference,Body_Type,Gender,Age_Group,Weather,Occasion,Style_Preference,Budget_Range,Fabric_Preference,Fit_Preference,Intent
Neutral,Pear,Male,Young Adult (18-25),Snowy,Date Night,Vintage,Luxury (₹15000+),Wool/Knit,Slim Fit,Style advice for body type
Dark,Rectangle,Female,Adult (26-35),Mild/Pleasant,Office/Work,Streetwear,Premium (₹5000-₹15000),Linen,Regular Fit,Occasion-specific look
Pastel,Hourglass,Male,Young Adult (18-25),Mild/Pleasant,Festival,Glamorous,Budget (<₹1000),Silk/Satin,Regular Fit,Fabric suggestion
Pastel,Inverted Triangle,Female,Mid Adult (36-50),Cold & Windy,Office/Work,Streetwear,Budget (<₹1000),Linen,Oversized,Fabric suggestion
Neutral,Plus-size,Non-binary,Adult (26-35),Snowy,Date Night,Bohemian,Premium (₹5000-₹15000),Silk/Satin,Oversized,Style advice for body type
Multicolor,Apple,Non-binary,Young Adult (18-25),Hot & Sunny,Party/Night Out,Streetwear,Mid-range (₹1000-₹5000),No preference,Tailored,Get outfit recommendation
Bold/Bright,Inverted Triangle,Non-binary,Adult (26-35),Mild/Pleasant,Festival,Streetwear,Budget (<₹1000),Cotton,Regular Fit,Layering tips
Dark,Petite,Female,Senior (51+),Mild/Pleasant,Sports/Gym,Bohemian,Mid-range (₹1000-₹5000),Silk/Satin,Slim Fit,Fabric suggestion
Monochrome,Petite,Non-binary,Adult (26-35),Cold & Windy,Festival,Streetwear,Mid-range (₹1000-₹5000),Linen,Relaxed,Get outfit recommendation
Multicolor,Hourglass,Non-binary,Young Adult (18-25),Rainy,Formal Event,Streetwear,Premium (₹5000-₹15000),Synthetic/Polyester,Oversized,Accessory suggestion
Earthy,Apple,Male,Adult (26-35),Cold & Windy,Festival,Sporty,Mid-range (₹1000-₹5000),Synthetic/Polyester,Regular Fit,Find color match
Earthy,Petite,Male,Senior (51+),Humid,Formal Event,Streetwear,Premium (₹5000-₹15000),No preference,Relaxed,Get outfit recommendation
Multicolor,Plus-size,Male,Teen (13-17),Hot & Sunny,Job Interview,Sporty,Mid-range (₹1000-₹5000),No preference,Relaxed,Layering tips
Earthy,Petite,Male,Mid Adult (36-50),Snowy,Festival,Sporty,Premium (₹5000-₹15000),Linen,Oversized,Layering tips
Bold/Bright,Rectangle,Male,Teen (13-17),Cold & Windy,Beach/Vacation,Glamorous,Luxury (₹15000+),Linen,Oversized,Accessory suggestion
Earthy,Pear,Female,Adult (26-35),Snowy,Date Night,Glamorous,Mid-range (₹1000-₹5000),No preference,Regular Fit,Find color match
Bold/Bright,Pear,Female,Teen (13-17),Rainy,Beach/Vacation,Classic/Preppy,Mid-range (₹1000-₹5000),Cotton,Slim Fit,Occasion-specific look
Monochrome,Plus-size,Non-binary,Mid Adult (36-50),Cold & Windy,Formal Event,Vintage,Premium (₹5000-₹15000),Denim,Oversized,Fabric suggestion
Earthy,Rectangle,Female,Adult (26-35),Mild/Pleasant,Casual Outing,Bohemian,Luxury (₹15000+),Wool/Knit,Tailored,Weather-appropriate outfit
Pastel,Inverted Triangle,Female,Teen (13-17),Hot & Sunny,Wedding Guest,Business Casual,Luxury (₹15000+),Silk/Satin,Relaxed,Get outfit recommendation
Multicolor,Hourglass,Female,Young Adult (18-25),Rainy,Date Night,Glamorous,Premium (₹5000-₹15000),Cotton,Tailored,Get outfit recommendation
Earthy,Inverted Triangle,Male,Adult (26-35),Humid,Wedding Guest,Bohemian,Luxury (₹15000+),Wool/Knit,Tailored,Occasion-specific look
Multicolor,Inverted Triangle,Non-binary,Senior (51+),Hot & Sunny,Formal Event,Bohemian,Luxury (₹15000+),Silk/Satin,Regular Fit,Accessory suggestion
Multicolor,Pear,Male,Senior (51+),Humid,Sports/Gym,Minimalist,Budget (<₹1000),Cotton,Oversized,Accessory suggestion
Multicolor,Rectangle,Non-binary,Mid Adult (36-50),Cold & Windy,Job Interview,Streetwear,Premium (₹5000-₹15000),Wool/Knit,Regular Fit,Style advice for body type
Monochrome,Inverted Triangle,Non-binary,Adult (26-35),Humid,Date Night,Business Casual,Premium (₹5000-₹15000),Linen,Slim Fit,Accessory suggestion
Bold/Bright,Petite,Male,Mid Adult (36-50),Humid,Wedding Guest,Minimalist,Luxury (₹15000+),Silk/Satin,Relaxed,Weather-appropriate outfit
Dark,Hourglass,Non-binary,Mid Adult (36-50),Cold & Windy,Festival,Glamorous,Mid-range (₹1000-₹5000),No preference,Oversized,Get outfit recommendation
Earthy,Petite,Male,Young Adult (18-25),Hot & Sunny,Beach/Vacation,Vintage,Luxury (₹15000+),Denim,Tailored,Weather-appropriate outfit
Monochrome,Inverted Triangle,Non-binary,Mid Adult (36-50),Snowy,Casual Outing,Streetwear,Mid-range (₹1000-₹5000),Wool/Knit,Regular Fit,Fabric suggestion
Earthy,Rectangle,Female,Young Adult (18-25),Mild/Pleasant,Festival,Vintage,Premium (₹5000-₹15000),Synthetic/Polyester,Regular Fit,Fabric suggestion
Pastel,Pear,Female,Senior (51+),Rainy,Party/Night Out,Sporty,Premium (₹5000-₹15000),Synthetic/Polyester,Oversized,Fabric suggestion
Bold/Bright,Rectangle,Female,Senior (51+),Snowy,Wedding Guest,Sporty,Budget (<₹1000),Wool/Knit,Relaxed,Layering tips
Monochrome,Plus-size,Female,Young Adult (18-25),Rainy,Casual Outing,Sporty,Budget (<₹1000),Silk/Satin,Tailored,Occasion-specific look
Dark,Rectangle,Male,Young Adult (18-25),Humid,Wedding Guest,Sporty,Mid-range (₹1000-₹5000),Cotton,Relaxed,Weather-appropriate outfit
Pastel,Hourglass,Non-binary,Senior (51+),Cold & Windy,Party/Night Out,Minimalist,Budget (<₹1000),Linen,Regular Fit,Fabric suggestion
Neutral,Petite,Male,Teen (13-17),Humid,Formal Event,Glamorous,Luxury (₹15000+),Linen,Oversized,Occasion-specific look
Bold/Bright,Apple,Non-binary,Teen (13-17),Hot & Sunny,Job Interview,Classic/Preppy,Budget (<₹1000),Denim,Tailored,Style advice for body type
Neutral,Plus-size,Female,Mid Adult (36-50),Cold & Windy,Wedding Guest,Minimalist,Budget (<₹1000),Silk/Satin,Relaxed,Find color match
Bold/Bright,Apple,Female,Senior (51+),Humid,Beach/Vacation,Streetwear,Luxury (₹15000+),Silk/Satin,Oversized,Find color match
Bold/Bright,Pear,Non-binary,Mid Adult (36-50),Snowy,Wedding Guest,Streetwear,Budget (<₹1000),Synthetic/Polyester,Regular Fit,Occasion-specific look
Earthy,Petite,Male,Young Adult (18-25),Humid,Sports/Gym,Glamorous,Premium (₹5000-₹15000),Cotton,Tailored,Find color match
Pastel,Pear,Female,Adult (26-35),Cold & Windy,Casual Outing,Sporty,Luxury (₹15000+),Denim,Tailored,Occasion-specific look
Bold/Bright,Apple,Non-binary,Senior (51+),Hot & Sunny,Wedding Guest,Vintage,Mid-range (₹1000-₹5000),Cotton,Slim Fit,Fabric suggestion
Bold/Bright,Pear,Female,Senior (51+),Snowy,Wedding Guest,Bohemian,Premium (₹5000-₹15000),Silk/Satin,Relaxed,Weather-appropriate outfit
Pastel,Pear,Female,Young Adult (18-25),Mild/Pleasant,Job Interview,Vintage,Luxury (₹15000+),Synthetic/Polyester,Relaxed,Fabric suggestion
Multicolor,Inverted Triangle,Non-binary,Young Adult (18-25),Cold & Windy,Job Interview,Bohemian,Luxury (₹15000+),Wool/Knit,Regular Fit,Find color match
Earthy,Hourglass,Male,Senior (51+),Humid,Party/Night Out,Streetwear,Mid-range (₹1000-₹5000),Silk/Satin,Relaxed,Fabric suggestion
Neutral,Petite,Male,Senior (51+),Mild/Pleasant,Office/Work,Business Casual,Budget (<₹1000),Linen,Oversized,Layering tips
Monochrome,Inverted Triangle,Male,Senior (51+),Mild/Pleasant,Wedding Guest,Minimalist,Luxury (₹15000+),Silk/Satin,Slim Fit,Weather-appropriate outfit
Earthy,Hourglass,Male,Mid Adult (36-50),Rainy,Office/Work,Minimalist,Budget (<₹1000),Linen,Slim Fit,Occasion-specific look
Monochrome,Pear,Male,Mid Adult (36-50),Rainy,Sports/Gym,Business Casual,Luxury (₹15000+),Linen,Slim Fit,Style advice for body type
Dark,Plus-size,Female,Teen (13-17),Cold & Windy,Festival,Glamorous,Mid-range (₹1000-₹5000),Synthetic/Polyester,Oversized,Get outfit recommendation
Multicolor,Hourglass,Female,Mid Adult (36-50),Snowy,Festival,Glamorous,Luxury (₹15000+),No preference,Oversized,Weather-appropriate outfit
Monochrome,Apple,Male,Adult (26-35),Cold & Windy,Office/Work,Minimalist,Luxury (₹15000+),Wool/Knit,Slim Fit,Weather-appropriate outfit
Pastel,Hourglass,Male,Senior (51+),Hot & Sunny,Beach/Vacation,Minimalist,Mid-range (₹1000-₹5000),Synthetic/Polyester,Slim Fit,Layering tips
Monochrome,Pear,Non-binary,Young Adult (18-25),Hot & Sunny,Formal Event,Sporty,Mid-range (₹1000-₹5000),No preference,Relaxed,Accessory suggestion
Earthy,Inverted Triangle,Non-binary,Adult (26-35),Cold & Windy,Wedding Guest,Streetwear,Mid-range (₹1000-₹5000),Linen,Regular Fit,Occasion-specific look
Neutral,Inverted Triangle,Non-binary,Young Adult (18-25),Snowy,Sports/Gym,Business Casual,Budget (<₹1000),Silk/Satin,Tailored,Accessory suggestion
Dark,Rectangle,Female,Young Adult (18-25),Rainy,Sports/Gym,Streetwear,Luxury (₹15000+),Denim,Oversized,Occasion-specific look
Multicolor,Petite,Male,Mid Adult (36-50),Hot & Sunny,Festival,Glamorous,Luxury (₹15000+),Wool/Knit,Relaxed,Style advice for body type
Monochrome,Pear,Female,Young Adult (18-25),Rainy,Office/Work,Business Casual,Premium (₹5000-₹15000),Cotton,Relaxed,Weather-appropriate outfit
Neutral,Apple,Female,Senior (51+),Humid,Casual Outing,Bohemian,Mid-range (₹1000-₹5000),No preference,Relaxed,Weather-appropriate outfit
Monochrome,Pear,Female,Adult (26-35),Hot & Sunny,Party/Night Out,Classic/Preppy,Budget (<₹1000),Synthetic/Polyester,Tailored,Weather-appropriate outfit
Dark,Inverted Triangle,Non-binary,Young Adult (18-25),Mild/Pleasant,Party/Night Out,Vintage,Premium (₹5000-₹15000),Linen,Tailored,Accessory suggestion
Bold/Bright,Apple,Female,Senior (51+),Mild/Pleasant,Beach/Vacation,Bohemian,Luxury (₹15000+),No preference,Regular Fit,Weather-appropriate outfit
Bold/Bright,Apple,Female,Teen (13-17),Humid,Party/Night Out,Streetwear,Budget (<₹1000),Silk/Satin,Relaxed,Layering tips
Bold/Bright,Pear,Male,Adult (26-35),Cold & Windy,Sports/Gym,Classic/Preppy,Luxury (₹15000+),Wool/Knit,Regular Fit,Occasion-specific look
Multicolor,Plus-size,Female,Mid Adult (36-50),Mild/Pleasant,Formal Event,Vintage,Mid-range (₹1000-₹5000),Denim,Relaxed,Fabric suggestion
Pastel,Inverted Triangle,Non-binary,Teen (13-17),Humid,Casual Outing,Bohemian,Budget (<₹1000),No preference,Slim Fit,Layering tips
Pastel,Plus-size,Non-binary,Young Adult (18-25),Hot & Sunny,Formal Event,Minimalist,Mid-range (₹1000-₹5000),Wool/Knit,Tailored,Accessory suggestion
Neutral,Inverted Triangle,Non-binary,Senior (51+),Mild/Pleasant,Beach/Vacation,Minimalist,Budget (<₹1000),Wool/Knit,Relaxed,Layering tips
Neutral,Hourglass,Non-binary,Adult (26-35),Humid,Wedding Guest,Minimalist,Luxury (₹15000+),No preference,Oversized,Find color match
Neutral,Inverted Triangle,Male,Young Adult (18-25),Cold & Windy,Job Interview,Sporty,Premium (₹5000-₹15000),Silk/Satin,Tailored,Find color match
Bold/Bright,Rectangle,Female,Senior (51+),Cold & Windy,Party/Night Out,Sporty,Budget (<₹1000),Synthetic/Polyester,Slim Fit,Find color match
Monochrome,Rectangle,Female,Senior (51+),Mild/Pleasant,Casual Outing,Minimalist,Mid-range (₹1000-₹5000),Cotton,Tailored,Layering tips
Dark,Plus-size,Female,Senior (51+),Hot & Sunny,Festival,Minimalist,Mid-range (₹1000-₹5000),Denim,Relaxed,Fabric suggestion
Bold/Bright,Hourglass,Male,Adult (26-35),Humid,Job Interview,Minimalist,Mid-range (₹1000-₹5000),No preference,Regular Fit,Get outfit recommendation
Pastel,Inverted Triangle,Male,Mid Adult (36-50),Hot & Sunny,Wedding Guest,Streetwear,Mid-range (₹1000-₹5000),Wool/Knit,Tailored,Accessory suggestion
Monochrome,Plus-size,Non-binary,Young Adult (18-25),Snowy,Office/Work,Vintage,Budget (<₹1000),Cotton,Tailored,Weather-appropriate outfit
Multicolor,Hourglass,Female,Senior (51+),Humid,Job Interview,Glamorous,Premium (₹5000-₹15000),Cotton,Regular Fit,Fabric suggestion
Monochrome,Pear,Female,Senior (51+),Mild/Pleasant,Sports/Gym,Streetwear,Luxury (₹15000+),Cotton,Relaxed,Occasion-specific look
Multicolor,Pear,Non-binary,Teen (13-17),Hot & Sunny,Wedding Guest,Streetwear,Luxury (₹15000+),Synthetic/Polyester,Oversized,Layering tips
Bold/Bright,Apple,Male,Teen (13-17),Hot & Sunny,Wedding Guest,Business Casual,Premium (₹5000-₹15000),No preference,Regular Fit,Find color match
Pastel,Hourglass,Male,Mid Adult (36-50),Mild/Pleasant,Festival,Glamorous,Budget (<₹1000),Cotton,Slim Fit,Accessory suggestion
Earthy,Hourglass,Non-binary,Senior (51+),Rainy,Sports/Gym,Minimalist,Premium (₹5000-₹15000),Linen,Tailored,Find color match
Dark,Inverted Triangle,Male,Senior (51+),Humid,Formal Event,Glamorous,Mid-range (₹1000-₹5000),Denim,Regular Fit,Occasion-specific look
Bold/Bright,Rectangle,Male,Teen (13-17),Cold & Windy,Sports/Gym,Sporty,Luxury (₹15000+),Silk/Satin,Tailored,Find color match
Bold/Bright,Apple,Male,Mid Adult (36-50),Humid,Job Interview,Classic/Preppy,Luxury (₹15000+),Cotton,Oversized,Occasion-specific look
Neutral,Rectangle,Female,Senior (51+),Mild/Pleasant,Date Night,Business Casual,Premium (₹5000-₹15000),Linen,Relaxed,Style advice for body type
Bold/Bright,Apple,Non-binary,Young Adult (18-25),Mild/Pleasant,Date Night,Streetwear,Luxury (₹15000+),Silk/Satin,Regular Fit,Fabric suggestion
Earthy,Plus-size,Male,Adult (26-35),Mild/Pleasant,Wedding Guest,Glamorous,Premium (₹5000-₹15000),Cotton,Relaxed,Weather-appropriate outfit
Earthy,Inverted Triangle,Male,Senior (51+),Hot & Sunny,Beach/Vacation,Classic/Preppy,Luxury (₹15000+),No preference,Regular Fit,Find color match
Multicolor,Plus-size,Female,Mid Adult (36-50),Cold & Windy,Wedding Guest,Classic/Preppy,Premium (₹5000-₹15000),Synthetic/Polyester,Oversized,Layering tips
Multicolor,Rectangle,Male,Mid Adult (36-50),Humid,Beach/Vacation,Glamorous,Luxury (₹15000+),Wool/Knit,Slim Fit,Accessory suggestion
Dark,Plus-size,Non-binary,Senior (51+),Snowy,Office/Work,Bohemian,Mid-range (₹1000-₹5000),Synthetic/Polyester,Regular Fit,Style advice for body type
Dark,Inverted Triangle,Male,Senior (51+),Snowy,Sports/Gym,Vintage,Luxury (₹15000+),Cotton,Slim Fit,Find color match
Bold/Bright,Pear,Non-binary,Senior (51+),Humid,Job Interview,Classic/Preppy,Luxury (₹15000+),Silk/Satin,Tailored,Fabric suggestion
Multicolor,Petite,Non-binary,Senior (51+),Cold & Windy,Date Night,Minimalist,Luxury (₹15000+),Cotton,Regular Fit,Layering tips
Neutral,Hourglass,Non-binary,Young Adult (18-25),Rainy,Wedding Guest,Vintage,Luxury (₹15000+),No preference,Oversized,Fabric suggestion
Bold/Bright,Rectangle,Male,Mid Adult (36-50),Snowy,Beach/Vacation,Vintage,Budget (<₹1000),Silk/Satin,Slim Fit,Find color match
Neutral,Plus-size,Female,Teen (13-17),Snowy,Formal Event,Classic/Preppy,Mid-range (₹1000-₹5000),Wool/Knit,Oversized,Accessory suggestion
Earthy,Rectangle,Female,Young Adult (18-25),Mild/Pleasant,Formal Event,Streetwear,Luxury (₹15000+),Linen,Slim Fit,Weather-appropriate outfit
Monochrome,Inverted Triangle,Female,Mid Adult (36-50),Hot & Sunny,Party/Night Out,Classic/Preppy,Premium (₹5000-₹15000),No preference,Slim Fit,Find color match
Multicolor,Plus-size,Non-binary,Young Adult (18-25),Rainy,Date Night,Classic/Preppy,Luxury (₹15000+),Cotton,Regular Fit,Fabric suggestion
Earthy,Petite,Female,Senior (51+),Mild/Pleasant,Job Interview,Glamorous,Budget (<₹1000),Silk/Satin,Regular Fit,Fabric suggestion
Earthy,Pear,Non-binary,Adult (26-35),Humid,Job Interview,Bohemian,Mid-range (₹1000-₹5000),Silk/Satin,Slim Fit,Weather-appropriate outfit
Bold/Bright,Hourglass,Male,Adult (26-35),Snowy,Formal Event,Glamorous,Luxury (₹15000+),Wool/Knit,Oversized,Layering tips
Monochrome,Pear,Female,Senior (51+),Snowy,Formal Event,Streetwear,Luxury (₹15000+),Silk/Satin,Oversized,Style advice for body type
Bold/Bright,Plus-size,Female,Senior (51+),Hot & Sunny,Date Night,Minimalist,Luxury (₹15000+),Denim,Oversized,Layering tips
Earthy,Inverted Triangle,Non-binary,Mid Adult (36-50),Mild/Pleasant,Beach/Vacation,Glamorous,Luxury (₹15000+),Linen,Oversized,Find color match
Earthy,Hourglass,Male,Adult (26-35),Hot & Sunny,Wedding Guest,Classic/Preppy,Premium (₹5000-₹15000),Denim,Tailored,Fabric suggestion
Earthy,Inverted Triangle,Male,Senior (51+),Hot & Sunny,Wedding Guest,Vintage,Budget (<₹1000),No preference,Tailored,Weather-appropriate outfit
Monochrome,Hourglass,Non-binary,Young Adult (18-25),Rainy,Casual Outing,Business Casual,Premium (₹5000-₹15000),Silk/Satin,Slim Fit,Fabric suggestion
Multicolor,Hourglass,Male,Young Adult (18-25),Snowy,Job Interview,Vintage,Luxury (₹15000+),Denim,Relaxed,Style advice for body type
Multicolor,Pear,Male,Teen (13-17),Humid,Date Night,Sporty,Mid-range (₹1000-₹5000),Silk/Satin,Regular Fit,Occasion-specific look
Earthy,Apple,Non-binary,Teen (13-17),Cold & Windy,Sports/Gym,Minimalist,Premium (₹5000-₹15000),No preference,Oversized,Style advice for body type
Pastel,Pear,Non-binary,Adult (26-35),Cold & Windy,Sports/Gym,Business Casual,Mid-range (₹1000-₹5000),Wool/Knit,Regular Fit,Layering tips
Monochrome,Rectangle,Male,Teen (13-17),Mild/Pleasant,Festival,Sporty,Premium (₹5000-₹15000),Linen,Tailored,Accessory suggestion
Earthy,Hourglass,Non-binary,Teen (13-17),Snowy,Beach/Vacation,Vintage,Budget (<₹1000),No preference,Relaxed,Layering tips
Pastel,Rectangle,Male,Mid Adult (36-50),Rainy,Date Night,Sporty,Premium (₹5000-₹15000),Wool/Knit,Relaxed,Style advice for body type
Earthy,Plus-size,Female,Adult (26-35),Snowy,Casual Outing,Minimalist,Budget (<₹1000),Synthetic/Polyester,Tailored,Get outfit recommendation
Neutral,Plus-size,Male,Mid Adult (36-50),Mild/Pleasant,Casual Outing,Glamorous,Mid-range (₹1000-₹5000),Synthetic/Polyester,Oversized,Occasion-specific look
Pastel,Plus-size,Female,Teen (13-17),Snowy,Date Night,Sporty,Budget (<₹1000),Silk/Satin,Oversized,Get outfit recommendation
Monochrome,Petite,Female,Young Adult (18-25),Mild/Pleasant,Office/Work,Bohemian,Budget (<₹1000),Denim,Tailored,Find color match
Pastel,Inverted Triangle,Male,Senior (51+),Snowy,Beach/Vacation,Minimalist,Budget (<₹1000),Synthetic/Polyester,Regular Fit,Find color match
Multicolor,Rectangle,Non-binary,Young Adult (18-25),Mild/Pleasant,Office/Work,Classic/Preppy,Luxury (₹15000+),Cotton,Slim Fit,Find color match
Bold/Bright,Apple,Female,Young Adult (18-25),Mild/Pleasant,Formal Event,Streetwear,Budget (<₹1000),Wool/Knit,Relaxed,Get outfit recommendation
Earthy,Petite,Male,Mid Adult (36-50),Rainy,Party/Night Out,Streetwear,Luxury (₹15000+),Wool/Knit,Tailored,Weather-appropriate outfit
Neutral,Hourglass,Male,Teen (13-17),Humid,Sports/Gym,Vintage,Luxury (₹15000+),Silk/Satin,Oversized,Weather-appropriate outfit
Bold/Bright,Petite,Male,Young Adult (18-25),Humid,Job Interview,Sporty,Budget (<₹1000),No preference,Regular Fit,Weather-appropriate outfit
Earthy,Inverted Triangle,Non-binary,Young Adult (18-25),Snowy,Sports/Gym,Sporty,Budget (<₹1000),No preference,Oversized,Fabric suggestion
Monochrome,Hourglass,Male,Mid Adult (36-50),Snowy,Job Interview,Bohemian,Budget (<₹1000),Silk/Satin,Regular Fit,Style advice for body type
Monochrome,Plus-size,Non-binary,Mid Adult (36-50),Rainy,Festival,Streetwear,Luxury (₹15000+),No preference,Slim Fit,Get outfit recommendation
Earthy,Hourglass,Male,Adult (26-35),Cold & Windy,Casual Outing,Minimalist,Luxury (₹15000+),Wool/Knit,Regular Fit,Layering tips
Monochrome,Petite,Female,Teen (13-17),Snowy,Festival,Streetwear,Premium (₹5000-₹15000),Cotton,Regular Fit,Find color match
Earthy,Pear,Male,Senior (51+),Rainy,Sports/Gym,Bohemian,Premium (₹5000-₹15000),Synthetic/Polyester,Tailored,Weather-appropriate outfit
Neutral,Pear,Male,Mid Adult (36-50),Hot & Sunny,Beach/Vacation,Minimalist,Premium (₹5000-₹15000),Synthetic/Polyester,Oversized,Find color match
Neutral,Petite,Male,Teen (13-17),Cold & Windy,Beach/Vacation,Vintage,Premium (₹5000-₹15000),Denim,Regular Fit,Style advice for body type
Dark,Plus-size,Female,Teen (13-17),Hot & Sunny,Date Night,Glamorous,Premium (₹5000-₹15000),Wool/Knit,Slim Fit,Occasion-specific look
Dark,Inverted Triangle,Non-binary,Teen (13-17),Mild/Pleasant,Beach/Vacation,Vintage,Budget (<₹1000),Linen,Relaxed,Style advice for body type
Bold/Bright,Pear,Female,Teen (13-17),Humid,Office/Work,Classic/Preppy,Budget (<₹1000),Cotton,Slim Fit,Weather-appropriate outfit
Neutral,Rectangle,Female,Mid Adult (36-50),Cold & Windy,Formal Event,Minimalist,Luxury (₹15000+),Denim,Regular Fit,Weather-appropriate outfit
Monochrome,Petite,Female,Adult (26-35),Hot & Sunny,Job Interview,Vintage,Budget (<₹1000),Wool/Knit,Slim Fit,Style advice for body type
Pastel,Plus-size,Non-binary,Teen (13-17),Mild/Pleasant,Office/Work,Business Casual,Premium (₹5000-₹15000),No preference,Regular Fit,Accessory suggestion
Neutral,Inverted Triangle,Female,Teen (13-17),Rainy,Party/Night Out,Sporty,Premium (₹5000-₹15000),Synthetic/Polyester,Relaxed,Weather-appropriate outfit
Monochrome,Apple,Non-binary,Mid Adult (36-50),Cold & Windy,Festival,Classic/Preppy,Mid-range (₹1000-₹5000),Cotton,Tailored,Get outfit recommendation
Pastel,Inverted Triangle,Female,Teen (13-17),Rainy,Casual Outing,Glamorous,Premium (₹5000-₹15000),Cotton,Oversized,Weather-appropriate outfit
Monochrome,Rectangle,Male,Young Adult (18-25),Snowy,Wedding Guest,Bohemian,Budget (<₹1000),Denim,Relaxed,Layering tips
Dark,Apple,Female,Teen (13-17),Humid,Office/Work,Streetwear,Luxury (₹15000+),Cotton,Relaxed,Get outfit recommendation
Monochrome,Petite,Male,Young Adult (18-25),Rainy,Wedding Guest,Vintage,Luxury (₹15000+),Synthetic/Polyester,Regular Fit,Accessory suggestion
Monochrome,Apple,Male,Teen (13-17),Cold & Windy,Formal Event,Bohemian,Mid-range (₹1000-₹5000),Cotton,Oversized,Fabric suggestion
Monochrome,Apple,Female,Teen (13-17),Humid,Date Night,Classic/Preppy,Luxury (₹15000+),Silk/Satin,Tailored,Occasion-specific look
Multicolor,Hourglass,Male,Young Adult (18-25),Snowy,Wedding Guest,Minimalist,Mid-range (₹1000-₹5000),No preference,Regular Fit,Style advice for body type
Neutral,Petite,Male,Adult (26-35),Mild/Pleasant,Festival,Minimalist,Premium (₹5000-₹15000),Silk/Satin,Oversized,Get outfit recommendation
Monochrome,Plus-size,Female,Senior (51+),Snowy,Festival,Classic/Preppy,Budget (<₹1000),Linen,Slim Fit,Style advice for body type
Neutral,Hourglass,Male,Young Adult (18-25),Cold & Windy,Party/Night Out,Glamorous,Premium (₹5000-₹15000),Synthetic/Polyester,Slim Fit,Occasion-specific look
Multicolor,Hourglass,Male,Teen (13-17),Cold & Windy,Beach/Vacation,Streetwear,Budget (<₹1000),No preference,Regular Fit,Find color match
Neutral,Rectangle,Male,Young Adult (18-25),Humid,Sports/Gym,Glamorous,Luxury (₹15000+),Cotton,Tailored,Layering tips
Pastel,Apple,Male,Young Adult (18-25),Rainy,Wedding Guest,Business Casual,Mid-range (₹1000-₹5000),Cotton,Relaxed,Weather-appropriate outfit
Dark,Apple,Female,Mid Adult (36-50),Humid,Beach/Vacation,Minimalist,Budget (<₹1000),Silk/Satin,Tailored,Style advice for body type
Monochrome,Pear,Non-binary,Senior (51+),Cold & Windy,Festival,Minimalist,Luxury (₹15000+),No preference,Regular Fit,Fabric suggestion
Earthy,Plus-size,Female,Adult (26-35),Humid,Festival,Vintage,Luxury (₹15000+),Silk/Satin,Oversized,Get outfit recommendation
Bold/Bright,Inverted Triangle,Male,Teen (13-17),Rainy,Casual Outing,Business Casual,Premium (₹5000-₹15000),No preference,Relaxed,Weather-appropriate outfit
Pastel,Hourglass,Male,Young Adult (18-25),Rainy,Festival,Minimalist,Mid-range (₹1000-₹5000),Wool/Knit,Tailored,Accessory suggestion
Multicolor,Plus-size,Male,Young Adult (18-25),Cold & Windy,Job Interview,Vintage,Premium (₹5000-₹15000),Wool/Knit,Slim Fit,Accessory suggestion
Earthy,Inverted Triangle,Male,Senior (51+),Cold & Windy,Beach/Vacation,Sporty,Mid-range (₹1000-₹5000),Linen,Slim Fit,Find color match
Neutral,Pear,Non-binary,Young Adult (18-25),Hot & Sunny,Festival,Business Casual,Budget (<₹1000),Silk/Satin,Relaxed,Weather-appropriate outfit
Multicolor,Pear,Female,Young Adult (18-25),Rainy,Casual Outing,Minimalist,Mid-range (₹1000-₹5000),Wool/Knit,Oversized,Find color match
Multicolor,Inverted Triangle,Female,Teen (13-17),Rainy,Sports/Gym,Bohemian,Premium (₹5000-₹15000),Silk/Satin,Regular Fit,Style advice for body type
Pastel,Petite,Female,Mid Adult (36-50),Snowy,Date Night,Streetwear,Premium (₹5000-₹15000),Denim,Relaxed,Style advice for body type
Monochrome,Apple,Non-binary,Adult (26-35),Cold & Windy,Formal Event,Minimalist,Luxury (₹15000+),No preference,Relaxed,Get outfit recommendation
Pastel,Inverted Triangle,Female,Senior (51+),Cold & Windy,Job Interview,Bohemian,Luxury (₹15000+),Denim,Regular Fit,Find color match
Pastel,Apple,Female,Young Adult (18-25),Snowy,Office/Work,Vintage,Luxury (₹15000+),Cotton,Regular Fit,Weather-appropriate outfit
Pastel,Petite,Male,Adult (26-35),Rainy,Office/Work,Minimalist,Budget (<₹1000),Linen,Tailored,Layering tips
Pastel,Rectangle,Female,Mid Adult (36-50),Rainy,Festival,Glamorous,Budget (<₹1000),No preference,Tailored,Weather-appropriate outfit
Pastel,Rectangle,Male,Teen (13-17),Rainy,Casual Outing,Vintage,Premium (₹5000-₹15000),Cotton,Slim Fit,Accessory suggestion
Pastel,Rectangle,Male,Teen (13-17),Humid,Office/Work,Vintage,Luxury (₹15000+),Synthetic/Polyester,Slim Fit,Layering tips
Dark,Pear,Non-binary,Mid Adult (36-50),Cold & Windy,Casual Outing,Bohemian,Premium (₹5000-₹15000),Denim,Oversized,Layering tips
Dark,Inverted Triangle,Non-binary,Senior (51+),Rainy,Wedding Guest,Sporty,Mid-range (₹1000-₹5000),Cotton,Slim Fit,Layering tips
Earthy,Inverted Triangle,Female,Young Adult (18-25),Hot & Sunny,Date Night,Minimalist,Luxury (₹15000+),Cotton,Regular Fit,Fabric suggestion
